2
Theta=90.0000000000002(deg)

Frequency	Phi	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
1980000000	0	-11.2026511315393	-12.1980318276074	-18.088790937216	-0.251537824625193	-1.69186660713103
1980000000	0.05235987756	-10.8806331658634	-11.9953450055266	-17.3322911313642	-0.210037308715346	-1.85231904332419
1980000000	0.10471975512	-10.5321440731021	-11.8363231284743	-16.392398296837	-0.162374082420259	-1.97802840524495
1980000000	0.15707963268	-10.1598899378869	-11.7030733717791	-15.4023256886787	-0.111842583301461	-2.07196223681097
1980000000	0.20943951024	-9.77650310469704	-11.593946635767	-14.4368145476073	-0.0622718759419666	-2.1402338120815
1980000000	0.2617993878	-9.39203560429535	-11.5075789212987	-13.5305771015823	-0.0174436782244302	-2.18922432116742
1980000000	0.31415926536	-9.02189087545044	-11.4454603073239	-12.7107567831003	0.019026467307429	-2.22475332830321
1980000000	0.36651914292	-8.67572344973176	-11.4159777890965	-11.9739804307235	0.0438987538059827	-2.2501863800799
1980000000	0.41887902048	-8.36368081837895	-11.4244517698042	-11.3240895908948	0.0543866115364155	-2.26831682725665
1980000000	0.47123889804	-8.09355318014807	-11.4791755307361	-10.7584021306136	0.0483107286639738	-2.28219236389495
1980000000	0.5235987756	-7.86244766965822	-11.5687205290339	-10.2730550198115	0.0239514628057304	-2.29269615560674
1980000000	0.5759586532	-7.67320300152114	-11.6888458778685	-9.86769558456341	-0.019613312540897	-2.30155110323319
1980000000	0.6283185307	-7.51457635947754	-11.8091401206235	-9.53498397385116	-0.0823067964096605	-2.30976067264211
1980000000	0.6806784083	-7.38130241847078	-11.9052158751476	-9.27135391305817	-0.162481464639121	-2.31835248171483
1980000000	0.7330382858	-7.27001253568689	-11.9487107072516	-9.07793200126025	-0.256650911253337	-2.32783757918914
1980000000	0.7853981634	-7.17352032983982	-11.9238676199642	-8.94490326165011	-0.359509683091858	-2.33896506038737
1980000000	0.837758041	-7.09388805764518	-11.8266042971592	-8.8741775260727	-0.464520209128371	-2.35246243130655
1980000000	0.8901179185	-7.03382606695631	-11.6841123286571	-8.85648836262646	-0.566493674011198	-2.36893640006155
1980000000	0.9424777961	-7.00036702765527	-11.5312425144412	-8.88662701354377	-0.660249203158053	-2.38905020828088
1980000000	0.9948376736	-7.00911377265545	-11.4210172115668	-8.96148064774039	-0.744303757729897	-2.41296965605503
1980000000	1.0471975512	-7.0665578992128	-11.3942574159913	-9.0674558544545	-0.817171023961622	-2.44125382497407
1980000000	1.0995574288	-7.18864551440221	-11.496941669943	-9.2009390644184	-0.880916584621919	-2.4741492078437
1980000000	1.1519173063	-7.38074273321779	-11.7706277590738	-9.34565721719797	-0.936213166922978	-2.51152418552892
1980000000	1.2042771839	-7.65228187213959	-12.262596189976	-9.49593560391538	-0.98518361285914	-2.55284520204623
1980000000	1.2566370614	-7.99623929571987	-13.0232359898456	-9.63469590481013	-1.03076088058024	-2.59758521177102
1980000000	1.308996939	-8.40161424740866	-14.1228621937044	-9.75555341816145	-1.07568095451052	-2.64521495690002
1980000000	1.3613568166	-8.84266843577857	-15.6811590258131	-9.85040810207757	-1.12575476458672	-2.69379245964512
1980000000	1.4137166941	-9.27414660965779	-17.9149808305361	-9.9127636990559	-1.19160454680437	-2.7415516062054
1980000000	1.4660765717	-9.63545748083889	-21.2692092027188	-9.94431670940186	-1.30496044944816	-2.78734534170063
1980000000	1.5184364492	-9.85888649962192	-26.8536809480587	-9.94652183744405	-1.61126771659909	-2.82939325836273
1980000000	1.5707963268	-9.89637586206783	-31.5072859035364	-9.92645020562182	-2.93324208416058	-2.86620459575343
1980000000	1.6231562044	-9.74135656945863	-24.3825705050096	-9.89314199963272	2.52446226103851	-2.89682611488588
1980000000	1.6755160819	-9.42775332371537	-19.7520376683118	-9.85074703911958	2.33083387372015	-2.92081649573025
1980000000	1.7278759595	-9.02821054723787	-16.8294082605461	-9.81609665044304	2.24873543677884	-2.93763949216129
1980000000	1.780235837	-8.60420867917072	-14.8226902195914	-9.78958963763444	2.20129398076582	-2.94752641956623
1980000000	1.8325957146	-8.21301689924899	-13.3912418628975	-9.78388765106651	2.16774114921685	-2.95060943386213
1980000000	1.8849555922	-7.88656808759727	-12.3675265060298	-9.80022202879142	2.14013750244808	-2.94734867485928
1980000000	1.9373154697	-7.65184254265563	-11.6658556996861	-9.84740697286308	2.11522342666005	-2.93822519642195
1980000000	1.9896753473	-7.51452940953074	-11.2232250957179	-9.92333977311155	2.08917480821107	-2.92387906080396
1980000000	2.0420352248	-7.48026135420052	-11.0038991334615	-10.031536871211	2.06127567175212	-2.90494283325488
1980000000	2.0943951024	-7.54904992354751	-10.976584039884	-10.1787101038528	2.02858864585143	-2.88189477793945
1980000000	2.14675498	-7.71481601109953	-11.1219029133105	-10.361565468703	1.98953214659294	-2.85544074862562
1980000000	2.1991148575	-7.9733258103054	-11.421559882702	-10.5858349841422	1.94200003544338	-2.82596124058431
1980000000	2.2514747351	-8.31017479553345	-11.848004091835	-10.8501388823447	1.88383767938536	-2.79405517260863
1980000000	2.3038346126	-8.71534591718066	-12.3773703060505	-11.1590817378014	1.81281021300081	-2.75981128052357
1980000000	2.3561944902	-9.175937209715	-12.9782549356346	-11.5166226268454	1.72702294841239	-2.72359772565059
1980000000	2.4085543678	-9.67250391995794	-13.6006715795626	-11.9254852415549	1.62558324713162	-2.6850058275138
1980000000	2.4609142453	-10.1896217772757	-14.1963787890825	-12.3899665932925	1.50954791477562	-2.64367488215334
1980000000	2.5132741229	-10.713655787063	-14.7206870284631	-12.9138196981745	1.3826919962532	-2.59874597361954
1980000000	2.5656340004	-11.2322363253418	-15.1417052995031	-13.4979780848113	1.25135941153513	-2.54939170157887
1980000000	2.617993878	-11.7413215162269	-15.456907937594	-14.145030619935	1.12326566472577	-2.49319911619334
1980000000	2.6703537556	-12.2423824947789	-15.6957589231069	-14.8506540618486	1.00545488751332	-2.42739056539302
1980000000	2.7227136331	-12.7396003387282	-15.9053635594971	-15.5998103170029	0.902927157253122	-2.3489513275565
1980000000	2.7750735107	-13.2490473298462	-16.1495670802867	-16.3719746224874	0.817176744046413	-2.25258259296754
1980000000	2.8274333882	-13.7707241241253	-16.4698250945727	-17.1162555599716	0.749598196822144	-2.1346585512987
1980000000	2.8797932658	-14.3045586860558	-16.9174804724733	-17.752292644099	0.698563173368967	-1.99224225430883
1980000000	2.9321531434	-14.8201938523002	-17.5145173560224	-18.1712761078869	0.664534820778634	-1.82717162755198
1980000000	2.9845130209	-15.2709364406465	-18.2950447997279	-18.2674717595769	0.649237120699531	-1.6491891658427
1980000000	3.0368728985	-15.5870347039981	-19.27045352325	-18.0146789789126	0.655656384834023	-1.47469043534445
1980000000	3.089232776	-15.6788212573394	-20.4411827928441	-17.4441661274005	0.691074203362692	-1.31960117587117
1980000000	3.1415926536	-15.4983570134875	-21.7663050972559	-16.6683294892945	0.76754601263325	-1.19294722945325
1980000000	3.1939525311	-15.0567807059526	-23.1031146352118	-15.7975129403915	0.901591660187657	-1.09623194033871
1980000000	3.2463124087	-14.4148287555302	-24.1256059319262	-14.9057615279819	1.10376889462162	-1.0266085154959
1980000000	3.2986722863	-13.6624522867942	-24.3797162406427	-14.0471789183059	1.34995436923791	-0.979020156253394
1980000000	3.3510321638	-12.8727150312206	-23.7029864688357	-13.2471211986806	1.57509251724129	-0.949264653246739
1980000000	3.4033920414	-12.0951780458963	-22.4204866480944	-12.5180669944997	1.73016660524741	-0.933549362286397
1980000000	3.4557519189	-11.3567399629957	-20.9301013083952	-11.8644136049401	1.81312949344791	-0.929176535841633
1980000000	3.5081117965	-10.6699352404088	-19.4509665113506	-11.2867533703676	1.84309992613124	-0.933749580478162
1980000000	3.5604716741	-10.0352407280336	-18.0632354141829	-10.7793920440731	1.83933612336166	-0.945560554326413
1980000000	3.6128315516	-9.45724516522662	-16.7893684569008	-10.3447977634725	1.81577498992176	-0.963628490686117
1980000000	3.6651914292	-8.92889829118128	-15.6360691032328	-9.97159900695206	1.78195727555559	-0.986902450891409
1980000000	3.7175513067	-8.45424547530362	-14.6060455363554	-9.66076570655031	1.74384348287175	-1.01426012705676
1980000000	3.7699111843	-8.03331214703211	-13.7156332674965	-9.40157920343584	1.70546333547656	-1.04546276176309
1980000000	3.8222710619	-7.67191336758378	-12.9649152804955	-9.19370050278855	1.66878281317831	-1.07982184486022
1980000000	3.8746309394	-7.37311322683984	-12.3669392252097	-9.02685690726751	1.63512691288196	-1.11688415430069
1980000000	3.926990817	-7.14461168727564	-11.9325358231758	-8.89719253651345	1.60490562219481	-1.15537168447954
1980000000	3.9793506945	-6.98931202463322	-11.6702785458733	-8.796060750947	1.57822815623732	-1.19504427202229
1980000000	4.0317105721	-6.91481759411785	-11.5964974253876	-8.72119835884076	1.55498616571026	-1.23480418028888
1980000000	4.0840704497	-6.9201534598998	-11.72842563107	-8.66265415800662	1.53495839573085	-1.27365275903166
1980000000	4.1364303272	-7.00829680214361	-12.0883016753524	-8.62267451014142	1.51788562851305	-1.31067196808756
1980000000	4.1887902048	-7.17160191830877	-12.7156398094345	-8.59221834396768	1.50356677604304	-1.34465455919323
1980000000	4.2411500823	-7.40139753119304	-13.6618279048183	-8.57369692080536	1.49175438418887	-1.37442696895189
1980000000	4.2935099599	-7.67582833541877	-15.0066284541682	-8.56368101618635	1.48249546653772	-1.39900276044622
1980000000	4.3458698375	-7.97142715563863	-16.9150408872399	-8.563960525857	1.47587120700466	-1.41741336766984
1980000000	4.398229715	-8.24798941557723	-19.6849248346367	-8.57171460156686	1.47314281393146	-1.42888409607187
1980000000	4.4505895926	-8.46887644039768	-24.1363349669495	-8.5882737796149	1.47872111449675	-1.43279178221946
