2
Phi=90.0000000000002(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
2980000000	-3.1415926536	-16.2887672272579	-41.0265480430121	-16.3033801359383	0.0432533936928465	-2.39270161021524
2980000000	-3.089232776	-16.9507814800099	-38.4230011242617	-16.9818352340868	-1.62977546348636	-2.33591147219351
2980000000	-3.0368728985	-17.7843011699887	-31.6882808779706	-17.9647599582284	-2.05282358724998	-2.24813184176269
2980000000	-2.9845130209	-18.6874853382815	-27.8751467290054	-19.2454651686843	-2.22167609630757	-2.11443903566408
2980000000	-2.9321531434	-19.4639349119287	-25.4195152956161	-20.7352135857642	-2.33481443271116	-1.90961805759202
2980000000	-2.8797932658	-19.8286070656684	-23.7439578470771	-22.0903249657044	-2.42545525581671	-1.60312564672204
2980000000	-2.8274333882	-19.5689959205555	-22.5798856948738	-22.5787061396095	-2.5029904316112	-1.20400894398443
2980000000	-2.7750735107	-18.7498773596033	-21.7749874053478	-21.745417560155	-2.56910534231526	-0.813670486238822
2980000000	-2.7227136331	-17.6340144282595	-21.2275394945693	-20.1302198455696	-2.62357515866206	-0.52388028350668
2980000000	-2.6703537556	-16.4565896045247	-20.8605108714687	-18.4134937372061	-2.66535311754976	-0.334158695917881
2980000000	-2.617993878	-15.3478303759027	-20.6148898081398	-16.8805503846014	-2.69330629421381	-0.212117498291761
2980000000	-2.5656340004	-14.3523776969351	-20.4406259010945	-15.5794477857925	-2.70806067205035	-0.132213876988058
2980000000	-2.5132741229	-13.4852787842606	-20.3010121755328	-14.4989816617933	-2.71133236461329	-0.0789622096385543
2980000000	-2.4609142453	-12.7266865474089	-20.1708527116852	-13.5892307376854	-2.70682002478223	-0.0424911553601243
2980000000	-2.4085543678	-12.0636394096378	-20.0411623199502	-12.8172894466601	-2.69906549910844	-0.0165251797594929
2980000000	-2.3561944902	-11.4685195713805	-19.9135190095152	-12.1389850959769	-2.69260168696639	0.00323947086874538
2980000000	-2.3038346126	-10.9262390674526	-19.7930331297397	-11.5301167489438	-2.69078388841392	0.0197183040873917
2980000000	-2.2514747351	-10.4152560135694	-19.6850210857252	-10.9620995976944	-2.69515423280678	0.0347368169016095
2980000000	-2.1991148575	-9.9213592983943	-19.5834561283797	-10.4181547835584	-2.70586955373921	0.0491961527537828
2980000000	-2.14675498	-9.43709040437746	-19.4752372530689	-9.89044738066939	-2.72123684437637	0.0633070303215639
2980000000	-2.0943951024	-8.95827574590537	-19.3390440870709	-9.37553241530705	-2.73878168786958	0.0767380346638029
2980000000	-2.0420352248	-8.48439186455211	-19.156024665552	-8.87336962035882	-2.75569422143177	0.0889725134378744
2980000000	-1.9896753473	-8.02601306130403	-18.9116527994582	-8.39546858545174	-2.76968726363239	0.099668652491162
2980000000	-1.9373154697	-7.58728657884969	-18.6136602204494	-7.9444635116725	-2.7795294035489	0.108609337108749
2980000000	-1.8849555922	-7.17010528815673	-18.2569126133998	-7.52214078871299	-2.78653748040869	0.115921228631789
2980000000	-1.8325957146	-6.78099403025604	-17.8871649534313	-7.13139851001015	-2.79144839256259	0.122127889523456
2980000000	-1.780235837	-6.41574080630859	-17.5154379198507	-6.76668970626376	-2.79722453286794	0.127842126628931
2980000000	-1.7278759595	-6.06610159652146	-17.1815519238151	-6.41572724996453	-2.80566837991366	0.133706461048938
2980000000	-1.6755160819	-5.72739246116646	-16.9112567480489	-6.07133139670749	-2.81804716682424	0.140355066489363
2980000000	-1.6231562044	-5.3835633431633	-16.7127304894312	-5.71574116225849	-2.83511222163738	0.147992408635684
2980000000	-1.5707963268	-5.02985698064624	-16.5964727310983	-5.34370593423605	-2.8565442435149	0.156711522096886
2980000000	-1.5184364492	-4.65564062084741	-16.5587667126385	-4.94529074533136	-2.88107695000757	0.166165468650994
2980000000	-1.4660765717	-4.25844983968115	-16.5858806921543	-4.52030939039461	-2.90718971639494	0.175910171998198
2980000000	-1.4137166941	-3.83949668812429	-16.6602335812424	-4.07247057413102	-2.93284820721844	0.18532831501008
2980000000	-1.3613568166	-3.40378951604975	-16.7789667944434	-3.60817294381315	-2.95576986780851	0.193919328197733
2980000000	-1.308996939	-2.9577439824711	-16.9072146388746	-3.13628319893704	-2.97524642711842	0.201672886308283
2980000000	-1.2566370614	-2.50865733161979	-17.0465974015071	-2.66416160131324	-2.99062626046579	0.208616070308725
2980000000	-1.2042771839	-2.06018534194785	-17.1882936054801	-2.19561930451499	-3.00304123153696	0.214744494637825
2980000000	-1.1519173063	-1.61680257235334	-17.3231510032096	-1.73512088097552	-3.0146493287405	0.220483489385145
2980000000	-1.0995574288	-1.17677797279741	-17.4475848532641	-1.28050203197321	-3.02835077821063	0.225921571485083
2980000000	-1.0471975512	-0.740397196949183	-17.5625545515448	-0.831623888715745	-3.04673404111403	0.231286008000107
2980000000	-0.9948376736	-0.306274368865647	-17.6666631829845	-0.386768444485498	-3.07187441427341	0.23661044542167
2980000000	-0.9424777961	0.127302877336314	-17.7485198518284	0.0558914494139166	-3.10416612295354	0.241701329510503
2980000000	-0.8901179185	0.561269315794121	-17.7949391405541	0.497390998581881	3.14083206413211	0.246215464218589
2980000000	-0.837758041	0.985075151109401	-17.8075383114065	0.927344520823864	3.09964992542834	0.250297298126608
2980000000	-0.7853981634	1.39690208083188	-17.7856080333194	1.34415872009849	3.05912073549031	0.253704807726115
2980000000	-0.7330382858	1.78991500228664	-17.7400362914659	1.74124961554161	3.02259236020701	0.25649065951568
2980000000	-0.6806784083	2.15860626291724	-17.6908799980428	2.1134109402195	2.99217205325138	0.258784267027228
2980000000	-0.6283185307	2.49891747427336	-17.6765327685944	2.45700597695379	2.9677627649733	0.260990748783294
2980000000	-0.5759586532	2.80805224990735	-17.7051402847751	2.76929064983435	2.94773575595586	0.263599535477921
2980000000	-0.5235987756	3.0831174040215	-17.820875422762	3.0477050789891	2.92817331345353	0.266974534374819
2980000000	-0.47123889804	3.33370266048828	-18.0268352789508	3.3018370072519	2.90473053847704	0.271283581471494
2980000000	-0.41887902048	3.55670180829696	-18.3387795073841	3.52854110778383	2.87189254207223	0.276844761874523
2980000000	-0.36651914292	3.76517695702879	-18.7509652193468	3.7407769741492	2.82425145905366	0.283237647943726
2980000000	-0.31415926536	3.95439375958667	-19.2381397937662	3.93352127436421	2.75717393337159	0.29029971181824
2980000000	-0.2617993878	4.14039962190076	-19.753206259831	4.12264501131819	2.6680340493431	0.297117628550384
2980000000	-0.20943951024	4.31111735680307	-20.2225634448349	4.29580006907589	2.55822820931011	0.303197732159874
2980000000	-0.15707963268	4.46548588262562	-20.5766791545144	4.4518636359017	2.43463550003078	0.307923059148207
2980000000	-0.10471975512	4.60663823446537	-20.7819626523429	4.59406193454581	2.30867027019391	0.310365175288097
2980000000	-0.05235987756	4.71418688608125	-20.8516457067651	4.7021141822287	2.19205877579788	0.31080040774144
2980000000	-4.4408920985E-16	4.7880724022506	-20.8384089796699	4.77616735044182	2.09249694070326	0.308922556837117
2980000000	0.05235987756	4.81958541294627	-20.8017294583255	4.8076661706029	-1.12956450737749	-2.83647844039233
2980000000	0.10471975512	4.80093322585231	-20.7752798033231	4.78888938352368	-1.19355877445584	-2.84147128205537
2980000000	0.15707963268	4.73338887701353	-20.7666837984479	4.72113171977269	-1.24583345917549	-2.84718800040494
