2
Frequency=4400(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-13.4973206650907	-13.591054900749	-30.2029641779378	-0.100001687666396	-0.491880510660285
0	-3.089232776	-13.1870700052131	-13.4025602756134	-26.3379360890534	-0.103020626454713	-0.690940153690125
0	-3.0368728985	-12.6702440687327	-13.0727422437444	-23.2001429341675	-0.104240356555648	-0.804614771249406
0	-2.9845130209	-11.9906142686527	-12.6898945199402	-20.2668944388243	-0.0978244748986978	-0.888759888161065
0	-2.9321531434	-11.2297343587997	-12.3852239233308	-17.5448598982316	-0.081198943187642	-0.943396594635462
0	-2.8797932658	-10.4863521769352	-12.264431747073	-15.2234330086659	-0.0541189068877244	-0.966309941085551
0	-2.8274333882	-9.88077379045849	-12.3945489780518	-13.4517827363075	-0.0168025852143087	-0.961650809783038
0	-2.7750735107	-9.52246994249597	-12.7765262537148	-12.3019708189673	0.0304827152965527	-0.934302522928486
0	-2.7227136331	-9.49176370314571	-13.3427312179792	-11.7980327113055	0.0868148202035344	-0.890102350776182
0	-2.6703537556	-9.80778276067371	-13.9489574022812	-11.9216742657362	0.148274024850196	-0.835635188256789
0	-2.617993878	-10.429209345457	-14.432115917589	-12.6320962386884	0.206744750754105	-0.782673374500517
0	-2.5656340004	-11.2237591760881	-14.6465470966058	-13.8573729611944	0.251211886049933	-0.753668320750668
0	-2.5132741229	-11.9619297853166	-14.5659404692149	-15.4204880326481	0.275316435677236	-0.789571761868589
0	-2.4609142453	-12.3599669588295	-14.2891896185139	-16.8129480968797	0.281431321365209	-0.940543147142044
0	-2.4085543678	-12.2445512048437	-13.9717783959378	-17.0839286585849	0.277819318686602	-1.19048905767608
0	-2.3561944902	-11.7314816735282	-13.7752742491073	-15.9868511846495	0.272510186450273	-1.40299620713634
0	-2.3038346126	-11.1278567500629	-13.7968678380975	-14.5085706973771	0.26903892084634	-1.49942071168524
0	-2.2514747351	-10.7137329913615	-14.0769263068715	-13.397672091895	0.266221005508008	-1.50565899080354
0	-2.1991148575	-10.6508868858875	-14.584156393957	-12.9004025905154	0.257460136895974	-1.45741798409306
0	-2.14675498	-10.9867546572356	-15.2242992257502	-13.0412945298618	0.230786681690831	-1.37608535969822
0	-2.0943951024	-11.687207571122	-15.8437735125358	-13.7914763877744	0.171444886737567	-1.27502782032807
0	-2.0420352248	-12.6308628856483	-16.2172172640472	-15.132646146168	0.0696665805484413	-1.16775643189767
0	-1.9896753473	-13.5928278327645	-16.146083459184	-17.1139898857855	-0.0666535287964455	-1.07461534716389
0	-1.9373154697	-14.2100392371127	-15.5575762941894	-19.9488361503829	-0.210213862807062	-1.03064961268729
0	-1.8849555922	-14.1340060500819	-14.5820554782958	-24.2206887736318	-0.332071696966879	-1.1171091270853
0	-1.8325957146	-13.3301953690846	-13.4143177591318	-30.5009157522377	-0.417620194897379	-1.69246707636638
0	-1.780235837	-12.1077477909061	-12.1998110673884	-28.8906769548243	-0.466015977682458	-2.94662598242513
0	-1.7278759595	-10.7479919034365	-10.9793675788277	-23.5978322539577	-0.482169873059958	2.90468809841205
0	-1.6755160819	-9.38026074124361	-9.75269341107354	-20.2325118066006	-0.472582079166358	2.72495352192772
0	-1.6231562044	-8.04008567629269	-8.51625131920334	-17.8762559589452	-0.446241473911983	2.61346183696643
0	-1.5707963268	-6.73426936493774	-7.27405533852326	-16.0569944492105	-0.411960628829227	2.54439498788816
0	-1.5184364492	-5.49040984919287	-6.06121615880265	-14.5856429662657	-0.376551173856479	2.51149556771884
0	-1.4660765717	-4.33473218496153	-4.91397231434206	-13.3703904154067	-0.344859778699368	2.50573637069077
0	-1.4137166941	-3.28618116570183	-3.85861458779697	-12.3698478229446	-0.319285076157478	2.5101391546507
0	-1.3613568166	-2.35079313684379	-2.90203759003334	-11.5879011781316	-0.300460257023752	2.50819067747952
0	-1.308996939	-1.51900270627362	-2.03220570052936	-11.0480289251191	-0.288418908806071	2.48496163497369
0	-1.2566370614	-0.77163061455589	-1.22832186636004	-10.7795916000399	-0.282983169063928	2.4335667115716
0	-1.2042771839	-0.0814181247662455	-0.467278950645782	-10.7864563969708	-0.283865867627156	2.35546009619953
0	-1.1519173063	0.574522315786173	0.265939307755999	-11.0629786739539	-0.290462823658239	2.26077556693918
0	-1.0995574288	1.20624266967304	0.973429659191888	-11.6174144754292	-0.301903587691587	2.1697874990252
0	-1.0471975512	1.80042877975877	1.63522348536789	-12.4795155218056	-0.317009018662635	2.10977282662404
0	-0.9948376736	2.35832076709698	2.24757586858442	-13.6315398346774	-0.333395820088265	2.11961899061313
0	-0.9424777961	2.85057920879051	2.77525097411845	-14.7952956834616	-0.35001239081787	2.24176305465255
0	-0.8901179185	3.28514741786391	3.22301645704046	-15.1906434418485	-0.364617612297832	2.47475171758728
0	-0.837758041	3.65339956150057	3.58304032731443	-14.2863646358152	-0.376142437661352	2.70199268348772
0	-0.7853981634	3.96569489304315	3.87199157690922	-12.7413660319399	-0.383954639307168	2.8170724789406
0	-0.7330382858	4.22857803933807	4.10615002946001	-11.3315273781974	-0.388203340718257	2.82736075450546
0	-0.6806784083	4.45536972708828	4.3091900553557	-10.346488389345	-0.390004271016018	2.7743479363277
0	-0.6283185307	4.66580301046041	4.50885005629248	-9.8325852948034	-0.390506706760113	2.69167892021101
0	-0.5759586532	4.85864267422694	4.70710976412996	-9.78967695737149	-0.391847188336083	2.60292001512818
0	-0.5235987756	5.03964711779119	4.9081656304581	-10.2151248009571	-0.395123367386939	2.52733473023115
0	-0.47123889804	5.20247597633256	5.09930778544951	-11.0913909661514	-0.401051996708882	2.48382011902959
0	-0.41887902048	5.34831660491665	5.27375467680855	-12.3415828342569	-0.408791169089947	2.49395078171292
0	-0.36651914292	5.47921411856387	5.4267607366537	-13.72709434472	-0.416702260739399	2.58026476182174
0	-0.31415926536	5.60151682888054	5.56158503451368	-14.7830886230572	-0.422805855680923	2.7425487538586
0	-0.2617993878	5.72650690373245	5.69072782978124	-15.1329225065638	-0.425221979449225	2.92941454907318
0	-0.20943951024	5.85303190801642	5.81677716731553	-14.9492779314165	-0.423530767095632	3.07731158990612
0	-0.15707963268	5.99482754714884	5.95797377767189	-14.7366102701709	-0.417595373116414	-3.10807355308472
0	-0.10471975512	6.14884661631518	6.11400247989128	-14.8251098621028	-0.408847312839341	-3.02920085517133
0	-0.05235987756	6.30303684646127	6.27288942785038	-15.2973699424187	-0.399266917354393	-2.92696332469947
0	-4.4408920985E-16	6.43897906761758	6.41402179233766	-15.9793650138709	-0.390666825416366	-2.76272270666061
0	0.05235987756	6.5406096318414	6.51857953582448	-16.4180799728876	2.75788616114976	0.616909238265466
0	0.10471975512	6.58925816894661	6.56624715487906	-16.1807277917233	2.76317894384449	0.877592259812236
0	0.15707963268	6.58085663253611	6.5535606941973	-15.449647017153	2.7681594059273	1.08728378154293
0	0.20943951024	6.50972216908912	6.47710508064249	-14.749967368378	2.7738602367234	1.23007317619849
0	0.2617993878	6.39381058818065	6.35744407120337	-14.3951860123024	2.78185371687559	1.33553696475715
0	0.31415926536	6.25702979903574	6.21970277023465	-14.4192292424408	2.79257950106397	1.44406664414976
0	0.36651914292	6.12163003655667	6.08507741478576	-14.6452912428338	2.80524574144041	1.59165183387017
0	0.41887902048	6.00686502436149	5.96957712642493	-14.6739296862303	2.81785403024181	1.7927844944118
0	0.47123889804	5.91086196771876	5.86782064572505	-14.1496280125739	2.82751803990335	2.01483189939458
0	0.5235987756	5.82291875834064	5.76750828126948	-13.1466812427681	2.83164456294517	2.19975961387678
0	0.5759586532	5.71571312172307	5.64319953424295	-12.0941424212036	2.82872649732856	2.3220392131273
0	0.6283185307	5.55544715162254	5.46549696030699	-11.327272517206	2.81832516120281	2.39163324432663
0	0.6806784083	5.32051509230771	5.21758551873065	-10.9832894276712	2.80157905214718	2.42862593088298
0	0.7330382858	4.98701889073827	4.87756428828785	-11.0530963046324	2.77999172033192	2.45023675776611
0	0.7853981634	4.55723195064104	4.44610149454735	-11.4177269365565	2.7561333975376	2.4701658454039
0	0.837758041	4.02983113041908	3.91680359254248	-11.8725605124177	2.73210031423296	2.50123002017244
0	0.8901179185	3.42635484298883	3.30424115117084	-12.1447584388971	2.71041665143736	2.55033419537426
