2
Phi=90.0000000000002(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
4250000000	-3.1415926536	-11.7140964447562	-34.1571571364023	-11.7389116809463	-2.36593795665873	0.7545252210182
4250000000	-3.089232776	-12.0953971708239	-35.2356827306137	-12.116522895397	-1.92871489169176	0.761430151312102
4250000000	-3.0368728985	-12.6281618796792	-34.2108608082345	-12.6584329021476	-1.48354419127182	0.782665100053664
4250000000	-2.9845130209	-13.3399576732098	-31.8134948690751	-13.4021211156367	-1.17198280874283	0.828417962393785
4250000000	-2.9321531434	-14.2298658615082	-29.2396598961234	-14.3691007440077	-1.00408933001223	0.911083249348983
4250000000	-2.8797932658	-15.2435398405514	-27.0526556409442	-15.5397493742415	-0.931484571392676	1.0469000070541
4250000000	-2.8274333882	-16.2257313419611	-25.3982994699329	-16.7857845266642	-0.915566096617243	1.25452810176319
4250000000	-2.7750735107	-16.9087258342072	-24.2629393789728	-17.7912851068346	-0.930529760908298	1.54178197322091
4250000000	-2.7227136331	-17.0766519110142	-23.576415238711	-18.1773873024992	-0.957881586794545	1.88259951163043
4250000000	-2.6703537556	-16.7218710041884	-23.2486234854831	-17.8148519647212	-0.980374860800966	2.21796760044076
4250000000	-2.617993878	-16.0306850049314	-23.1656953731272	-16.9642047217004	-0.981196471880327	2.50198334386808
4250000000	-2.5656340004	-15.1960284336344	-23.187793468611	-15.9469848223333	-0.94767757674279	2.72777459165839
4250000000	-2.5132741229	-14.349714499894	-23.153274393808	-14.9631048258061	-0.878653534875829	2.9047626624685
4250000000	-2.4609142453	-13.5464360003953	-22.9461781782823	-14.0761307605329	-0.789765814798357	3.04695492424689
4250000000	-2.4085543678	-12.8379744942146	-22.5865869294484	-13.3244012109518	-0.707413726520994	-3.11701504326397
4250000000	-2.3561944902	-12.2386758390112	-22.2304869666361	-12.6971615731818	-0.651904272340931	-3.00963975292058
4250000000	-2.3038346126	-11.750161776133	-22.0518727404955	-12.1754713524882	-0.629392206156432	-2.90487052990542
4250000000	-2.2514747351	-11.3390444929353	-22.1611567154255	-11.7141860316499	-0.635293007894916	-2.79664598744123
4250000000	-2.1991148575	-10.9544192177536	-22.5909675301926	-11.2630723883011	-0.658324820741979	-2.68317888623217
4250000000	-2.14675498	-10.5389809399488	-23.3141807061877	-10.774478273824	-0.682380492585123	-2.5682610341922
