2
Phi=0(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
4250000000	-3.1415926536	-13.168505277025	-13.268326008222	-29.6039556907531	0.719220049008102	1.52963422542026
4250000000	-3.089232776	-12.9019001079213	-12.942535117506	-33.2110412186319	0.780064043922397	0.780867450062333
4250000000	-3.0368728985	-12.392575526525	-12.4969028438665	-28.6384974732931	0.853711180064066	-0.284724110129744
4250000000	-2.9845130209	-11.6420274782017	-12.036064985883	-22.2600241786378	0.935210619970346	-0.527271438243861
4250000000	-2.9321531434	-10.7548967851887	-11.6616996951123	-18.0031260155355	1.01678339052777	-0.500684823186079
4250000000	-2.8797932658	-9.90173597185458	-11.4516996255453	-15.1283214301112	1.09143620288245	-0.384904491995656
4250000000	-2.8274333882	-9.21554201130799	-11.4257631130238	-13.2073712666292	1.15416109916976	-0.230687263961215
4250000000	-2.7750735107	-8.79359696560762	-11.5693129781878	-12.0518790515234	1.2018980284818	-0.062838507788886
4250000000	-2.7227136331	-8.69828518101574	-11.8075422176895	-11.6118327233098	1.23296381126395	0.102130973920765
4250000000	-2.6703537556	-8.97260530708962	-12.032188635162	-11.9341748863759	1.24883096048834	0.250498280491626
4250000000	-2.617993878	-9.58909211378304	-12.1287504020285	-13.1273062290751	1.25429724783119	0.364765611449541
4250000000	-2.5656340004	-10.3534022381108	-12.0195086209421	-15.3206714731347	1.25717157144176	0.405267204782475
4250000000	-2.5132741229	-10.8597608463808	-11.7168142548674	-18.3290068261641	1.26405878105421	0.264428659663494
4250000000	-2.4609142453	-10.7251386671187	-11.2935001605401	-19.8378172721866	1.27828494366376	-0.176605332829439
4250000000	-2.4085543678	-10.0232497430784	-10.8690514550463	-17.5444468458772	1.29879057298613	-0.514434195340479
4250000000	-2.3561944902	-9.09799923783314	-10.5315377870766	-14.6088195364963	1.32340417890502	-0.538437333174393
4250000000	-2.3038346126	-8.22760136470912	-10.3539157998347	-12.3490361499242	1.34953008623905	-0.422268137435373
4250000000	-2.2514747351	-7.57130106454451	-10.3521047622608	-10.8239045865907	1.37562888408012	-0.263278817079681
4250000000	-2.1991148575	-7.25213362417439	-10.5234112881649	-10.0162536036142	1.3999492648801	-0.0954443200996999
