2
Phi=90.0000000000002(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
4250000000	-3.1415926536	-10.7745037092631	-26.5118130084068	-10.8919700555466	3.00181763235693	-0.732346254144261
4250000000	-3.089232776	-10.8769768720342	-26.5118921576171	-10.9972848128128	2.8701246808461	-0.698507730163276
4250000000	-3.0368728985	-11.1671539046472	-26.9012256801198	-11.2847090472539	2.66141353419072	-0.652007173347951
4250000000	-2.9845130209	-11.6148464737727	-26.9602968758952	-11.7435704879811	2.35682480841962	-0.592612347910766
4250000000	-2.9321531434	-12.1735743081528	-25.9670987960936	-12.3587821388224	2.02582116079952	-0.51971219076078
4250000000	-2.8797932658	-12.7950615070809	-24.1496441028235	-13.1252254720341	1.77654031073899	-0.431945674244978
4250000000	-2.8274333882	-13.429079024666	-22.2345447957869	-14.0421803037442	1.63238736982936	-0.327595460681588
4250000000	-2.7750735107	-14.0317656240885	-20.6123781581842	-15.109455628884	1.563430862823	-0.202868042019167
4250000000	-2.7227136331	-14.5865521838418	-19.3841373927335	-16.3343382572245	1.54095430315215	-0.0518117626383745
4250000000	-2.6703537556	-15.0995053678266	-18.5452279954731	-17.7140874512414	1.54717973705217	0.136233886998228
4250000000	-2.617993878	-15.5829694247547	-18.0617930793537	-19.1989756519099	1.57203472616181	0.378474341435981
4250000000	-2.5656340004	-16.0242778005873	-17.8967932767865	-20.5805365095751	1.60988873380142	0.694327615466636
4250000000	-2.5132741229	-16.3745173386446	-17.9944282903075	-21.4422576367753	1.65751059659263	1.08497120842662
4250000000	-2.4609142453	-16.5837255983211	-18.3212703821812	-21.4020543765891	1.71279829239918	1.50159378009609
4250000000	-2.4085543678	-16.607718852078	-18.8190854665516	-20.5978222012615	1.77426901802813	1.87509989680814
4250000000	-2.3561944902	-16.459767889378	-19.4407150311584	-19.4996203995322	1.84033783776538	2.18236526567972
4250000000	-2.3038346126	-16.1792987222385	-20.1224841263239	-18.4220982050882	1.90851934877577	2.43990374246843
4250000000	-2.2514747351	-15.8121473843954	-20.8248763211475	-17.4571585449307	1.97672770379964	2.67026957376201
4250000000	-2.1991148575	-15.3694099253268	-21.5200790025839	-16.5762924021256	2.04323433270933	2.88876460138862
4250000000	-2.14675498	-14.8196812558901	-22.2010162031421	-15.6961523565935	2.10756999837742	3.10153482505119
4250000000	-2.0943951024	-14.1389803284924	-22.8834481750593	-14.7614055200312	2.1717485698219	-2.97665984039322
4250000000	-2.0420352248	-13.3194667796986	-23.5922841808738	-13.7477600592518	2.24012898014978	-2.78522656449202
4250000000	-1.9896753473	-12.3872666819915	-24.3495806096517	-12.6728642769184	2.31850073530088	-2.61268216262715
4250000000	-1.9373154697	-11.4018332480674	-25.1618135487598	-11.5885084407196	2.41374667247526	-2.46163354241031
4250000000	-1.8849555922	-10.4180681269709	-25.9918673962178	-10.5401052475128	2.53130761348	-2.32930261702494
4250000000	-1.8325957146	-9.4694366459007	-26.7674835372302	-9.55110553868619	2.67277889501381	-2.21279593521506
4250000000	-1.780235837	-8.57937818275562	-27.3844222047354	-8.63694271186511	2.83101605874765	-2.10824902694375
4250000000	-1.7278759595	-7.74998078724663	-27.7740200078039	-7.79338669840777	2.98976203628563	-2.01228385969228
4250000000	-1.6755160819	-6.97135888088065	-27.9582090061838	-7.00609930869069	3.12992568298098	-1.92280201649014
4250000000	-1.6231562044	-6.23582148525564	-28.0252820580482	-6.26468042703851	-3.04500725447356	-1.83872619645011
4250000000	-1.5707963268	-5.53041674709708	-28.0761671513903	-5.55465048431791	-2.97245304574268	-1.76040373735378
4250000000	-1.5184364492	-4.85080149718956	-28.1672209104519	-4.87108561766137	-2.93237007165479	-1.6885100053389
4250000000	-1.4660765717	-4.19481703470787	-28.3148642695997	-4.21166788646508	-2.91827075202481	-1.62387700823951
4250000000	-1.4137166941	-3.56618747601122	-28.4995228395729	-3.58015595154719	-2.92282847621702	-1.56706333296018
4250000000	-1.3613568166	-2.9670499812954	-28.6806235991945	-2.97871835251654	-2.93934881478644	-1.51817105118567
4250000000	-1.308996939	-2.40307193206928	-28.8144626954976	-2.41300633705641	-2.96286436244848	-1.47681593992742
4250000000	-1.2566370614	-1.87385143842387	-28.8575485109909	-1.88255806388641	-2.99103016870818	-1.44226647358505
