2
Theta=90.0000000000002(deg)

Frequency	Phi	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
4250000000	0	-3.97354742642256	-4.61846073399905	-12.5748442261905	-2.61503723475544	3.13671817071679
4250000000	0.05235987756	-3.92729057569059	-4.3812223381682	-13.9602171235749	-2.62111142665192	2.86456763000633
4250000000	0.10471975512	-3.78679178322743	-4.13841778652258	-14.8784518959856	-2.63537005224871	2.51051326611846
4250000000	0.15707963268	-3.56962759393788	-3.90224643986208	-14.8932502115119	-2.65993213252088	2.11521687266646
4250000000	0.20943951024	-3.30690769779912	-3.69286855681847	-14.0108694978032	-2.69621316405569	1.74959057151446
4250000000	0.2617993878	-3.03108822670816	-3.53381414888484	-12.6445570269356	-2.74510303644194	1.45273821701004
4250000000	0.31415926536	-2.77099076676893	-3.44845836710892	-11.1742799391877	-2.80728337288291	1.22088098201626
4250000000	0.36651914292	-2.54518318307655	-3.45622342573543	-9.77521067177179	-2.88249583709129	1.03777548657343
4250000000	0.41887902048	-2.36872941971478	-3.57662442888332	-8.5162392834453	-2.97048812045212	0.890393496696765
4250000000	0.47123889804	-2.25534712915111	-3.82893392992903	-7.42734585260167	-3.07090520300753	0.769267847891289
4250000000	0.5235987756	-2.21496684671648	-4.2289890436757	-6.52033161256873	3.09964658785902	0.668289418830584
4250000000	0.5759586532	-2.26090554797628	-4.79454012474133	-5.8067124385877	2.97468521414832	0.583402322095359
4250000000	0.6283185307	-2.41058290602036	-5.54758763263515	-5.29777013575865	2.83649324970769	0.510905796747691
4250000000	0.6806784083	-2.68241530542814	-6.50970858948176	-5.00535000336758	2.68352787833496	0.447731722648326
4250000000	0.7330382858	-3.09738364179024	-7.70795452811852	-4.94090169299884	2.51208208158155	0.391231497219617
4250000000	0.7853981634	-3.67625272108201	-9.16580341205711	-5.11813792575154	2.3161670906994	0.338852649679617
4250000000	0.837758041	-4.43915268058161	-10.8967719835353	-5.55212165457668	2.0858979297385	0.287826651059894
4250000000	0.8901179185	-5.40335996601859	-12.8802742984409	-6.25874222271842	1.80656407732916	0.235057265585195
4250000000	0.9424777961	-6.57819572232885	-14.9999844263597	-7.25254803501794	1.45808980090736	0.177054049680778
