2
Theta=90.0000000000002(deg)

Frequency	Phi	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
6000000000	0	1.33434503083848	-2.87440601960026	-0.73770580304217	1.65683270975874	1.63802709173769
6000000000	0.05235987756	1.4542025150161	-2.46268907920573	-0.806462800631238	1.59509755870345	1.55374354624106
6000000000	0.10471975512	1.32158940742731	-2.35827467260572	-1.1087189105195	1.51879385787496	1.49295959940874
6000000000	0.15707963268	0.940251745950943	-2.47193474828875	-1.70222175868828	1.43117383262328	1.45471310116648
6000000000	0.20943951024	0.386241075348954	-2.66062376437483	-2.58779928316625	1.35072764704801	1.43187114487103
6000000000	0.2617993878	-0.259700840038101	-2.85766667687588	-3.72562982302236	1.29784114830269	1.41382721954407
6000000000	0.31415926536	-0.98244138980127	-3.11980019718949	-5.08644890680368	1.27341351318017	1.39002714989806
6000000000	0.36651914292	-1.85316856190065	-3.57701552476679	-6.69947511009629	1.25458323727994	1.3521508374794
6000000000	0.41887902048	-2.99402810533714	-4.35421939589239	-8.69823120572574	1.20653821305352	1.29227231840677
6000000000	0.47123889804	-4.44197841243792	-5.44430807821325	-11.3012459316751	1.10011777983134	1.18674289770988
6000000000	0.5235987756	-5.97498231140922	-6.62193721346486	-14.5635479199616	0.935397239885614	0.964845791602932
6000000000	0.5759586532	-7.20453648488287	-7.66093461079972	-17.2151418756611	0.765069510205218	0.516832803762232
6000000000	0.6283185307	-8.12284082283172	-8.74391067235201	-16.8761143138293	0.66572332188678	0.0628471950060542
6000000000	0.6806784083	-9.13553995339143	-10.3013381052289	-15.4170171314779	0.676377099880021	-0.0903928074570822
6000000000	0.7330382858	-10.5163981866547	-12.5584311713847	-14.7746972675156	0.794704409288763	-0.0469320505033737
6000000000	0.7853981634	-12.430689416944	-15.4685021114901	-15.413649833389	0.983945986111858	0.0734924729684162
6000000000	0.837758041	-15.3260321121792	-18.825443340914	-17.8967719879517	1.16538839672357	0.194316751843995
6000000000	0.8901179185	-19.7925457707926	-21.7986736948863	-24.1113230948408	1.23406926141084	0.160662094779636
6000000000	0.9424777961	-21.1733040709831	-21.8949593118282	-29.3236817762202	1.21415105183619	-1.53375239072448
6000000000	0.9948376736	-16.3307903853798	-18.7218336088733	-20.0635683890879	1.29579275981094	-1.92466230143936
6000000000	1.0471975512	-12.7367065246176	-15.0391301418333	-16.5931678957745	1.42305157250184	-1.83733869985621
6000000000	1.0995574288	-10.7085719144018	-12.4047885832611	-15.6121414120262	1.50944425244219	-1.72735428661725
6000000000	1.1519173063	-10.0048032247649	-11.1819674817986	-16.2495712264521	1.5331781136392	-1.70575083416122
6000000000	1.2042771839	-10.3342532110401	-11.2626512425149	-17.4906869988674	1.47931532385566	-1.92083451348059
