2
Frequency=5850(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-11.8191344311883	-12.7326432627351	-19.0386011416047	-1.54613927986437	-1.27033601975711
0	-3.089232776	-11.234983570835	-12.1213006989412	-18.5725597145268	-1.56437332267278	-1.4822719082259
0	-3.0368728985	-10.4393763288294	-11.7697069262623	-16.2258227489098	-1.58787105343983	-1.7689538880213
0	-2.9845130209	-9.42375446977629	-11.7104791707909	-13.302767876237	-1.6190625889072	-1.84027746884892
0	-2.9321531434	-8.7324083595284	-11.891328131546	-11.5990065787078	-1.65262503066426	-1.73773237942396
0	-2.8797932658	-8.76808085881172	-12.1388873894503	-11.4455196052149	-1.6774285709329	-1.55213207672208
0	-2.8274333882	-9.56087951835158	-12.2028268707838	-12.9736942740466	-1.68108902957676	-1.35829089901077
0	-2.7750735107	-10.6690764155712	-11.9096031915359	-16.7163670839743	-1.6558025261745	-1.30454427764397
0	-2.7227136331	-10.8749601455763	-11.3143318957807	-21.0423158720579	-1.60066598293418	-1.92617552441307
0	-2.6703537556	-9.69722988038502	-10.6940498977264	-16.5777864948492	-1.51572342863112	-2.50677736126671
0	-2.617993878	-8.47602433891508	-10.380501651685	-12.9736055267462	-1.39672891703188	-2.37666407171406
0	-2.5656340004	-7.99250539090224	-10.6257318898538	-11.4157578181114	-1.23485927792387	-2.02096048461421
0	-2.5132741229	-8.18866549500586	-11.559271112723	-10.8662755147225	-1.01869511493408	-1.56205441112583
0	-2.4609142453	-8.90831476152296	-13.205399413473	-10.9272297954437	-0.734276939942892	-1.07583024598747
0	-2.4085543678	-10.2766209713258	-15.4308573382182	-11.8579870039586	-0.361246751610492	-0.585504238117853
0	-2.3561944902	-12.3632523536924	-17.7454468545847	-13.8481494187104	0.106653494377256	-0.0378084897006347
0	-2.3038346126	-14.6141656881728	-19.3705600269799	-16.3825063861545	0.583772008382383	0.639413039782872
0	-2.2514747351	-16.475727535318	-20.3796788256396	-18.7452524063252	0.87660645748792	1.43012326178757
0	-2.1991148575	-18.0063132210168	-21.2163740030255	-20.8256380454646	0.849293462637037	2.39897658877492
0	-2.14675498	-16.8473350050762	-20.6902589452323	-19.1592490101341	0.549165308139067	-2.7663960505934
0	-2.0943951024	-13.4541077790583	-18.4055622829728	-15.1276290943124	0.288028846904036	-2.08816580394356
0	-2.0420352248	-10.7383653758772	-16.0480665773859	-12.2531638767557	0.182401474621027	-1.68441380656052
0	-1.9896753473	-8.89725348250949	-14.144259073556	-10.4384886430158	0.161060468099867	-1.36312708879534
0	-1.9373154697	-7.54473156403747	-12.5018568148323	-9.21558951690411	0.169225957144271	-1.0735479233781
0	-1.8849555922	-6.50994060661215	-10.9519145697328	-8.44533147229622	0.180475237168734	-0.817186927525551
0	-1.8325957146	-5.83873441390847	-9.53942032769558	-8.25349221011974	0.185955891853132	-0.591804321118934
0	-1.780235837	-5.56089805455899	-8.39324418003001	-8.75675627271131	0.1848958887076	-0.3707351984518
0	-1.7278759595	-5.50185368768817	-7.55417684614566	-9.74306520074228	0.177364912755865	-0.108680637647834
0	-1.6755160819	-5.32344223188413	-6.90479846486892	-10.4777009087533	0.161908790680271	0.219872079239915
0	-1.6231562044	-4.76438199610014	-6.23974545510124	-10.1700531952272	0.136617762698355	0.548549402450528
0	-1.5707963268	-3.8638192710271	-5.41766728855752	-9.08136124836124	0.101172514056642	0.781576013432186
0	-1.5184364492	-2.87691078490466	-4.48248325353113	-7.97653682848697	0.0568609427398333	0.91632261499158
0	-1.4660765717	-2.06652414694579	-3.61560302966779	-7.29517327621213	0.00482179735443259	0.98889630053804
0	-1.4137166941	-1.58208396565967	-2.97419511705112	-7.20066630508884	-0.0544454332886061	1.02118258659083
0	-1.3613568166	-1.44024270582371	-2.59924380522727	-7.74386792656546	-0.119359285673335	1.02054738612823
0	-1.308996939	-1.54316293272284	-2.42123074195251	-8.9173648262583	-0.185810664881575	0.996808602398815
0	-1.2566370614	-1.74109526357832	-2.32747003869169	-10.7270746786312	-0.248720045206634	0.976690423101845
0	-1.2042771839	-1.92450590392501	-2.25041621328284	-13.3333041723175	-0.306015438116842	1.02193887999572
0	-1.1519173063	-2.06531940830523	-2.20438123824681	-17.0804285047004	-0.360807204437081	1.2756437794309
0	-1.0995574288	-2.1747149698042	-2.25006921742743	-19.8191033492227	-0.417158708764881	2.07759993854622
0	-1.0471975512	-2.22414227007854	-2.41551809318302	-15.878451203024	-0.474691988932434	2.82033398306888
0	-0.9948376736	-2.12841024531054	-2.64270560144032	-11.648737666538	-0.527771953338934	3.01924835476652
0	-0.9424777961	-1.83654076417402	-2.79567797250515	-8.86632263386144	-0.573078338557483	2.98846223340641
0	-0.8901179185	-1.40385531384324	-2.73367563880539	-7.19172573537834	-0.619580653672845	2.83685095461396
0	-0.837758041	-0.968295836893547	-2.42652376479997	-6.41661675189388	-0.688474073024646	2.61668246546421
0	-0.7853981634	-0.693736528886433	-1.97371257512508	-6.62384221227668	-0.795249624219264	2.37014143299527
0	-0.7330382858	-0.690359291644104	-1.52703983233185	-8.25423186463681	-0.937047633131661	2.12966981003201
0	-0.6806784083	-0.89862539460785	-1.21798223921662	-12.392406196841	-1.0967034868936	1.93552406639186
0	-0.6283185307	-1.09958334262724	-1.12607032439295	-23.2603384900754	-1.25620985043027	2.18669735200519
0	-0.5759586532	-1.13475687114311	-1.22356585332935	-18.0723598787856	-1.40366033298451	-2.36083877034851
0	-0.5235987756	-1.05442801104953	-1.3517139111439	-12.8483230743531	-1.53389037466241	-2.55553794141839
0	-0.47123889804	-0.903247079959477	-1.2896886358644	-11.6020400897865	-1.64569087915463	-2.98384610792502
0	-0.41887902048	-0.598789278996489	-0.937081473184296	-11.851760810667	-1.74138391332945	2.72539494551574
0	-0.36651914292	-0.150751988812707	-0.413293144909976	-12.4672304656965	-1.82620373197168	2.08030230195124
0	-0.31415926536	0.242537166934983	0.0611449372562676	-13.6394995973607	-1.904228299335	1.47868686873376
0	-0.2617993878	0.436670703333862	0.355132427834272	-16.86826254063	-1.97447807031068	0.965097311578178
0	-0.20943951024	0.51776219249781	0.511245607034082	-27.7231378526381	-2.02925761022726	0.645934194016394
0	-0.15707963268	0.714389105400554	0.686095264457405	-21.1606741699252	-2.05775320546147	2.98273875567234
0	-0.10471975512	1.16812113127935	1.00819752361669	-13.2503126304992	-2.05590875509361	2.62940354388995
0	-0.05235987756	1.75326984346036	1.43715467232769	-9.78321877823009	-2.03133600159391	2.28962632641652
0	-4.4408920985E-16	2.1659497121777	1.78405073915917	-8.58195880285616	-1.99335321294014	2.03084034779073
0	0.05235987756	2.17818477400424	1.86558638437702	-9.4051526960459	1.20145053496605	-1.23653241735163
0	0.10471975512	1.89539947325462	1.71375003808304	-11.9806112720422	1.28586603355385	-1.0856523848691
0	0.15707963268	1.78171444452752	1.63234629147331	-12.9280185850128	1.4142849190897	-0.525300220849636
0	0.20943951024	2.31607462903614	2.08295820856942	-10.5020766734668	1.56749972189988	-0.178963468381923
0	0.2617993878	3.41050452327244	3.16588123004708	-9.20409804960998	1.69320435710695	-0.131083356560212
0	0.31415926536	4.64275172382237	4.48971452243352	-9.96341514365676	1.76281182159515	-0.119441432240183
0	0.36651914292	5.73523230517028	5.6668536529136	-12.3275499094743	1.78816042456851	0.111145709696648
0	0.41887902048	6.56331918970559	6.50611034558018	-12.2684652136964	1.79295261685765	0.720606814160293
0	0.47123889804	7.13011525213171	7.01300150006934	-8.62007419828269	1.79491740677718	1.04013915923934
0	0.5235987756	7.48195883012113	7.28059485565437	-5.95635951451	1.8033133993709	1.06034264795053
0	0.5759586532	7.67446501128509	7.42203979498369	-4.80765203446886	1.8192837474523	1.00585467973738
0	0.6283185307	7.75469952678743	7.50819202202111	-4.82751290300046	1.83860398690385	0.978780593258838
0	0.6806784083	7.74909709271885	7.53736448816641	-5.47630482203933	1.85658237825258	1.04864448973925
0	0.7330382858	7.67689050492522	7.47857885055179	-5.82624875395296	1.87205208442679	1.23704733781513
0	0.7853981634	7.56009948122192	7.32348719541235	-5.19513974746181	1.88764762806588	1.44640523947167
0	0.837758041	7.40766241529833	7.09077284888277	-4.11858269043593	1.90778406339437	1.57322562792864
0	0.8901179185	7.22943019194513	6.82638599513624	-3.29484989670761	1.93433524066706	1.62257908258639
0	0.9424777961	7.03133644897013	6.56304743804515	-2.87340777243965	1.96451790886342	1.63410955598296
0	0.9948376736	6.80403166184142	6.29087723713731	-2.72538178629997	1.99186018772336	1.63458787811769
0	1.0471975512	6.54269847390256	5.99667940458204	-2.73321609068708	2.0090591152309	1.63549656013459
0	1.0995574288	6.2284647068645	5.66389692422181	-2.91144382123633	2.0128682388367	1.63976873676528
0	1.1519173063	5.88216998755928	5.32992410286555	-3.34754561278841	2.00335156822035	1.6489878595956
0	1.2042771839	5.52166420104851	5.00964530479164	-4.01681353798195	1.98599216003803	1.66575631357655
0	1.2566370614	5.17786262737013	4.70260248204575	-4.66612976824615	1.96594555655343	1.69043933099947
0	1.308996939	4.84314550374668	4.35753078134199	-4.9123242605662	1.94534329889056	1.71683112398868
0	1.3613568166	4.49407517299826	3.92595047379463	-4.62029737719993	1.92110594126045	1.73775838600157
0	1.4137166941	4.10157455371291	3.39072056064285	-4.1090445349698	1.88760288962674	1.75626258381649
0	1.4660765717	3.6585690545608	2.80970062508076	-3.84839335683444	1.84041844372662	1.78199843843558
0	1.5184364492	3.150340491158	2.25036976457782	-4.12743621149288	1.78181419726943	1.81909062763898
0	1.5707963268	2.58754291845912	1.74521188796138	-4.94983261949189	1.71972672060688	1.85944195170937
0	1.6231562044	1.98010526896329	1.24313709709682	-6.08652508990168	1.66270377119508	1.87725170692005
0	1.6755160819	1.32301784237963	0.660389609529724	-7.16922830034811	1.61374763144156	1.83903047437721
0	1.7278759595	0.61261033345867	-0.047903099237118	-7.89248806394883	1.57028139471371	1.74013793726364
0	1.780235837	-0.138636480543283	-0.857422025654231	-8.30492332951656	1.52873100994298	1.62045590791032
0	1.8325957146	-0.940846689320484	-1.71463815368329	-8.81360320491273	1.48732326023706	1.51775220989288
0	1.8849555922	-1.83719276809748	-2.60038669040511	-9.76469701784352	1.44478815355754	1.43007883002746
0	1.9373154697	-2.87438653883283	-3.56794892566668	-11.1835414600753	1.39573102887701	1.32423559511322
0	1.9896753473	-4.05157170126812	-4.68614466310424	-12.7180229655238	1.32777281738126	1.15655859370555
0	2.0420352248	-5.27880954199611	-5.94102164576522	-13.7735811240008	1.22422639649097	0.914892298996343
0	2.0943951024	-6.34717099190637	-7.15333209486652	-14.05764288086	1.07728706995065	0.659848426288923
0	2.14675498	-7.08754280161962	-8.06876041951977	-14.0291081866066	0.906178017179618	0.460993902280879
0	2.1991148575	-7.62994883376951	-8.65778955013271	-14.3923231012009	0.748987881374541	0.333606395526264
0	2.2514747351	-8.29684667511944	-9.16656435605066	-15.7085109952517	0.625860274743194	0.245097046599978
0	2.3038346126	-9.30637480966206	-9.84392440468365	-18.6460353756595	0.524385500752847	0.0794546938551303
0	2.3561944902	-10.4586689202032	-10.7506666286231	-22.3278984678877	0.422005029902218	-0.623000280728413
0	2.4085543678	-10.7933220681209	-11.7778395401652	-17.7218942951333	0.306324868695401	-1.48406465251968
0	2.4609142453	-9.71339982195554	-12.7926202215545	-12.655856005882	0.184265545657972	-1.65474334017064
0	2.5132741229	-8.42032885850431	-13.8204579534572	-9.89793637119545	0.0696215445296294	-1.63998396184818
0	2.5656340004	-8.01660217897129	-15.0388906457311	-8.97759326907445	-0.0388385716550779	-1.58375596106728
0	2.617993878	-8.88323698364097	-16.7042161370194	-9.66719897094109	-0.159141730227613	-1.53776936356608
0	2.6703537556	-11.0640265656154	-19.0764192501336	-11.811100165664	-0.307562067620342	-1.56141210675389
0	2.7227136331	-14.1447313416999	-22.6734756618407	-14.8013728898269	-0.471982777368547	-1.75983799718293
0	2.7750735107	-16.3844819465889	-29.7309131273069	-16.5902553497278	-0.545729929345514	-2.14162254470812
0	2.8274333882	-16.7795314354714	-35.5163286358602	-16.838013868417	1.65294635593522	-2.39979051541002
0	2.8797932658	-17.157306799775	-23.7863947307274	-18.2214408647668	1.86755575401889	-2.47470352063349
0	2.9321531434	-17.4876260294518	-19.0271055856381	-22.7387554209396	1.79309202894018	-2.57256115782586
0	2.9845130209	-16.1659680272401	-16.3580230758269	-29.805227510088	1.71549225453836	2.68873151602163
0	3.0368728985	-14.1304380748969	-14.7004238401813	-23.2315174507491	1.65603097443988	1.86653283446854
0	3.089232776	-12.6617440591912	-13.5707972959366	-19.9002951535417	1.61797237686478	1.86900452902197
0	3.1415926536	-11.8191344311883	-12.7326432627351	-19.0386011416047	1.59545337372543	1.87125663383269
0.05235987756	-3.1415926536	-11.8196449703443	-12.9588687086404	-18.1885653019862	-1.55321699070757	-1.2969902929035
0.05235987756	-3.089232776	-11.2047240533221	-12.3162813386663	-17.6671796908429	-1.56342651802939	-1.48246195241427
0.05235987756	-3.0368728985	-10.3670783158194	-11.9650036050904	-15.4838496967081	-1.5754671889408	-1.73967884671073
0.05235987756	-2.9845130209	-9.32139316107751	-11.948164695881	-12.7524010369999	-1.59780480124544	-1.80792012204141
0.05235987756	-2.9321531434	-8.62966007859581	-12.2015971938561	-11.1427077861295	-1.62970767236524	-1.71419305891508
0.05235987756	-2.8797932658	-8.69136379011639	-12.4933014858545	-11.0323206557381	-1.65889258657763	-1.54526571569431
0.05235987756	-2.8274333882	-9.53107524849596	-12.5333186126308	-12.549446771199	-1.66418881413176	-1.38196775579527
0.05235987756	-2.7750735107	-10.6400892713708	-12.1311816078073	-16.0071229731154	-1.62931244210066	-1.38727156419684
0.05235987756	-2.7227136331	-10.6870449291372	-11.3846261561389	-18.9730631345834	-1.55580486837273	-1.96309966841953
0.05235987756	-2.6703537556	-9.37235176430997	-10.6214765903402	-15.3937393929878	-1.4543960307063	-2.40947734175204
0.05235987756	-2.617993878	-8.18069933205535	-10.2017306511965	-12.4742103780908	-1.32927161021252	-2.28895393795637
0.05235987756	-2.5656340004	-7.81308297382819	-10.3846078440679	-11.3115222481784	-1.17549667653814	-1.93986335262152
0.05235987756	-2.5132741229	-8.16306763605045	-11.3157981887933	-11.0354601808304	-0.982589620790729	-1.47488534925228
0.05235987756	-2.4609142453	-9.06600695589753	-13.0505101104027	-11.2810957350692	-0.737089721756373	-0.975983501231029
0.05235987756	-2.4085543678	-10.6442576075176	-15.5283508049171	-12.3498113789131	-0.41985657006556	-0.467354728255986
0.05235987756	-2.3561944902	-12.87754779274	-18.3865685135228	-14.3117903338677	-0.0144093016624529	0.111299761875336
0.05235987756	-2.3038346126	-15.0341014044467	-20.7735173083024	-16.3814132887638	0.424772879068333	0.794255740602638
0.05235987756	-2.2514747351	-16.8228385518016	-22.1137293366675	-18.3455119099075	0.694901589495486	1.48140860833089
0.05235987756	-2.1991148575	-18.9787390156231	-22.2885547546106	-21.7088536338203	0.6376185174795	2.27484050261198
0.05235987756	-2.14675498	-18.3572831430006	-20.567546070943	-22.3490493600559	0.408956804544715	-2.6744870815814
0.05235987756	-2.0943951024	-14.5812450729253	-17.9676116854863	-17.2454636762903	0.272505741753507	-1.83923275477678
0.05235987756	-2.0420352248	-11.6347678122963	-15.7885612764317	-13.74076590121	0.243604647831916	-1.41247730302922
0.05235987756	-1.9896753473	-9.62339164209713	-14.1343125562581	-11.5205440258763	0.265127069714436	-1.07277251474592
0.05235987756	-1.9373154697	-8.0824341877124	-12.7080363678768	-9.91802461040003	0.299772318681005	-0.769892095677711
0.05235987756	-1.8849555922	-6.91793721618142	-11.3266644162991	-8.87210797483265	0.327598985979607	-0.509742002766379
0.05235987756	-1.8325957146	-6.24095259549251	-10.0278684363961	-8.59267200171817	0.341615490647807	-0.278705997869379
0.05235987756	-1.780235837	-6.02599876160341	-8.94808585120753	-9.12634055799553	0.342571647893642	-0.0329494441810624
0.05235987756	-1.7278759595	-5.96922071125405	-8.14662207101952	-10.0109881238954	0.33096018252124	0.276868764824105
0.05235987756	-1.6755160819	-5.65896759122916	-7.51732568103901	-10.2416129427864	0.306045826265861	0.634461880452799
0.05235987756	-1.6231562044	-4.9362775212134	-6.8580315717914	-9.40264488674825	0.267468993053647	0.924874487062594
0.05235987756	-1.5707963268	-3.9585325071033	-6.02525769952338	-8.17600813518172	0.218039510061857	1.09786318850163
