2
Theta=90.0000000000002(deg)

Frequency	Phi	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
5850000000	0	2.58754291845912	1.74521188796138	-4.94983261949189	1.71972672060688	1.85944195170937
5850000000	0.05235987756	2.60494866739889	1.97023404491521	-6.06060230161589	1.67355807180361	1.84506653171608
5850000000	0.10471975512	2.51044916077152	2.06525935597172	-7.60263542663876	1.63257385620585	1.83666955619797
5850000000	0.15707963268	2.26406204102288	1.98229625880685	-9.75501978481525	1.59480445190302	1.83951825239075
5850000000	0.20943951024	1.82282655078007	1.67108945395212	-12.8197465119092	1.55534376146317	1.87017339919832
5850000000	0.2617993878	1.16110029554422	1.10232516691164	-17.5541613560903	1.50692920276902	1.98718185979501
5850000000	0.31415926536	0.347604462489004	0.33749338191166	-25.9873174960888	1.44193148404115	2.62088967804984
5850000000	0.36651914292	-0.461898929853798	-0.490136924568348	-22.3455148640114	1.35692444291237	-2.02337103471994
5850000000	0.41887902048	-1.10054342375359	-1.24401042435129	-15.9824023775546	1.25794999659487	-1.68913741329237
5850000000	0.47123889804	-1.50453472128934	-1.86585843239986	-12.4828225837845	1.16100509245031	-1.56322913116958
5850000000	0.5235987756	-1.81408037663861	-2.46545724300672	-10.3752186800989	1.08053428924503	-1.4912362327508
5850000000	0.5759586532	-2.26952070184137	-3.25291623731521	-9.20250508086681	1.01962723435978	-1.45970265118812
5850000000	0.6283185307	-3.05780337077018	-4.42838675098628	-8.7338759821683	0.970232614194061	-1.47863432613262
5850000000	0.6806784083	-4.19272046882918	-6.10136697308681	-8.68273723880274	0.920270139772018	-1.56239706779445
5850000000	0.7330382858	-5.40365697905279	-8.24178898215741	-8.59323292080188	0.860713309843805	-1.7066268563504
5850000000	0.7853981634	-6.15026970989321	-10.6465373511317	-8.05547018688472	0.798165477352151	-1.86128457512171
5850000000	0.837758041	-6.14781815870739	-12.9825574270346	-7.15653809522796	0.769636543140973	-1.9605726720289
5850000000	0.8901179185	-5.7497513511794	-14.9540994376644	-6.30544845454505	0.835652843701947	-1.98423630509187
5850000000	0.9424777961	-5.45722744446455	-16.3654972808109	-5.82467924962498	1.02778107134493	-1.95355397098268
5850000000	0.9948376736	-5.56592322526036	-17.1307361476283	-5.87990731593201	1.30343490388699	-1.90107240740478
5850000000	1.0471975512	-6.21877759907034	-17.4766219130271	-6.5566752944163	1.58393693164571	-1.85964498080443
5850000000	1.0995574288	-7.42965117483121	-17.7408601214371	-7.8539847112251	1.81038964986018	-1.86551799090626
5850000000	1.1519173063	-8.97260871112653	-18.1511404882382	-9.53184169268283	1.94409821760756	-1.95825785549888
5850000000	1.2042771839	-10.2298165555809	-18.7630635013971	-10.8857236004462	1.9618515153785	-2.14996077663606
5850000000	1.2566370614	-10.6187209257804	-19.5165629670518	-11.2179858610066	1.87403103293243	-2.3538790839879
5850000000	1.308996939	-10.4536018432566	-20.5417100648031	-10.901496381155	1.73038065981104	-2.46131812769836
5850000000	1.3613568166	-10.4541510688112	-22.5289276682368	-10.7322090563829	1.56924428094451	-2.47421281638495
5850000000	1.4137166941	-10.9913669729539	-26.8904570095386	-11.1044815988297	1.31557673483113	-2.44952116034893
5850000000	1.4660765717	-12.110021524064	-33.6842192082119	-12.1403520672035	0.255434511275545	-2.44700978559739
5850000000	1.5184364492	-13.5529306007448	-28.0167898906984	-13.7111595001896	-0.819217173107767	-2.51593294086326
5850000000	1.5707963268	-14.8897938017999	-24.8784875528004	-15.3486267761525	-0.993347806069644	-2.67019610287926
5850000000	1.6231562044	-16.0461638169855	-25.1558680322998	-16.6149413509887	-1.05360390524132	-2.82678107802989
5850000000	1.6755160819	-17.6796279535155	-28.1183356308416	-18.0910844817692	-1.28238822900069	-2.85505651167714
5850000000	1.7278759595	-20.4414388860707	-29.1252692006532	-21.0732839183946	-2.07447884203037	-2.64686959177423
5850000000	1.780235837	-21.9372516339051	-24.2188421819295	-25.8236836973208	-2.49025736400298	-1.82051698776164
5850000000	1.8325957146	-18.4707297550796	-20.7869940661122	-22.3074721907574	-2.47952203193619	-0.540016869772948
5850000000	1.8849555922	-15.209093619007	-19.5749189308909	-17.1878338323065	-2.37020030831972	-0.0214872858141318
5850000000	1.9373154697	-13.4216193669841	-20.8359291566916	-14.2907507119647	-2.25590609590302	0.271301937361433
5850000000	1.9896753473	-12.7290544605878	-26.2827241904212	-12.925019568384	-2.23800433356907	0.475134526996062
5850000000	2.0420352248	-12.7357280954797	-34.3337150738141	-12.7658923748553	2.25326446189232	0.597047219425756
5850000000	2.0943951024	-13.1460512985068	-23.5725868793678	-13.5587192881835	1.87069295902835	0.603857511674816
5850000000	2.14675498	-13.561536827408	-20.5251097036019	-14.5371933829165	2.17812816650274	0.452297737516182
5850000000	2.1991148575	-13.19109223111	-19.5554657009527	-14.3316806709756	2.75390548314513	0.21812676296291
5850000000	2.2514747351	-11.7757705933465	-17.7782478366936	-13.0312156938051	-2.81690381186067	0.106716569479285
5850000000	2.3038346126	-10.3119235747191	-15.4101636367361	-11.9181161300239	-2.23752712821339	0.16316474599307
5850000000	2.3561944902	-9.66064265508486	-14.0386295036071	-11.6323792611877	-1.78023711765922	0.33010139328973
5850000000	2.4085543678	-10.1845111049126	-14.0156560752435	-12.5047238138193	-1.34030940273353	0.569512201730888
5850000000	2.4609142453	-12.1579116472367	-15.2206751749069	-15.1163742451838	-0.847842415449118	0.896856452490781
5850000000	2.5132741229	-15.895071965731	-17.6028838704298	-20.7744742644718	-0.243322273733449	1.55638665288134
5850000000	2.5656340004	-17.9400259468456	-21.0874490321055	-20.8174000818143	0.646062532151545	-3.03793372144107
5850000000	2.617993878	-13.3001060299627	-20.9827408962068	-14.1119670595457	2.00033380577661	-2.32244294443279
5850000000	2.6703537556	-9.47469878766462	-16.489720980945	-10.4374913826278	2.9158495494434	-1.96180133002441
5850000000	2.7227136331	-7.19657019564127	-13.3919869896273	-8.3892148140885	-2.77926688029409	-1.66426983853457
5850000000	2.7750735107	-5.888576322881	-11.5862094293022	-7.25118648756219	-2.23646708854061	-1.38521905179731
5850000000	2.8274333882	-5.04929988359208	-10.0309498969025	-6.70869797675773	-1.67782275673464	-1.11963838590819
5850000000	2.8797932658	-4.34214273353826	-8.18222446979765	-6.65605566266513	-1.17166418580287	-0.867654887050547
5850000000	2.9321531434	-3.74586396962166	-6.4536594075181	-7.08132729715863	-0.778411507346485	-0.618279278113617
5850000000	2.9845130209	-3.42014327700968	-5.31950322373606	-7.92703722286361	-0.482707852091393	-0.345068104994107
5850000000	3.0368728985	-3.43114924642749	-4.874558117631	-8.91683282383645	-0.249187285134552	-0.0122858139782092
5850000000	3.089232776	-3.65292086610792	-4.98076961690897	-9.44629926415487	-0.0561343181640885	0.386346531099647
5850000000	3.1415926536	-3.8638192710271	-5.41766728855752	-9.08136124836124	0.101172514056642	0.781576013432186
5850000000	3.1939525311	-3.9585325071033	-6.02525769952338	-8.17600813518172	0.218039510061857	1.09786318850163
5850000000	3.2463124087	-4.03901254495546	-6.80327706693981	-7.31012776777355	0.295586490306095	1.33116340082761
5850000000	3.2986722863	-4.2792729992061	-7.92795077514943	-6.73311797982231	0.352793542279393	1.50753519163847
5850000000	3.3510321638	-4.77649169413381	-9.68346864591908	-6.47108115520278	0.428595795823716	1.64564567168303
5850000000	3.4033920414	-5.47881545304938	-12.2636090381398	-6.50068925001092	0.587661151250344	1.7527917784081
5850000000	3.4557519189	-6.22541881721541	-15.0716923583335	-6.83236606238766	0.918903489385393	1.83404387822625
5850000000	3.5081117965	-6.97545968876532	-16.1802154287009	-7.53110115011459	1.31797444215873	1.90165327505644
5850000000	3.5604716741	-7.93740409464587	-15.9262769834964	-8.68890663252964	1.4274128633194	1.98468594208967
5850000000	3.6128315516	-9.17230099456728	-15.5855624674494	-10.2983129544778	1.16906408765805	2.13619519042566
5850000000	3.6651914292	-9.88847051845758	-14.3053245207456	-11.838029936736	0.70750014647758	2.42754132660642
5850000000	3.7175513067	-9.10520940162449	-12.3196261997535	-11.9205568265725	0.308271042726831	2.82629153011028
5850000000	3.7699111843	-7.67856822179824	-11.0279965639382	-10.3743140238967	0.0305780729167686	3.11727446297348
5850000000	3.8222710619	-6.64920807687948	-11.0155652944111	-8.62764132850915	-0.171635072931503	-3.04993049327513
5850000000	3.8746309394	-6.19484686173146	-12.4995994758572	-7.35350318320154	-0.309229038337472	-3.04097274294024
5850000000	3.926990817	-6.10995991249632	-15.8745975130588	-6.59449128471161	-0.302358044946675	-3.07847813312168
5850000000	3.9793506945	-6.09258559762497	-20.492268816731	-6.25321411896255	0.248828845595716	-3.1226469034612
5850000000	4.0317105721	-5.90111322132413	-17.4151179876019	-6.21893072040833	1.11139963038422	3.13443501032511
5850000000	4.0840704497	-5.54452283158491	-13.1550524741329	-6.37135476167499	1.31044291422775	3.134770601991
5850000000	4.1364303272	-5.29397228855066	-11.1641275833201	-6.59468871018026	1.33953381552745	-3.13206516410226
5850000000	4.1887902048	-5.42910514201578	-11.0024840818034	-6.83842095199537	1.37005974309831	-3.12395492234922
5850000000	4.2411500823	-6.00953947341706	-12.4121440730008	-7.13871076892544	1.48662200160914	3.13600581453817
5850000000	4.2935099599	-6.82004478524477	-14.7799583839852	-7.5770398759772	1.80761016916644	3.07335344816096
5850000000	4.3458698375	-7.49902153825876	-15.72295175822	-8.20751257923163	2.36051598446585	2.98088481993091
5850000000	4.398229715	-7.94654880033354	-14.3727450347624	-9.06873959493985	2.78469567229817	2.87955378620572
5850000000	4.4505895926	-8.4186492632977	-13.2104514133648	-10.1693035423094	2.9959612543898	2.7913891046347
5850000000	4.5029494701	-9.12966787807289	-12.9911006104367	-11.4286189384745	-3.13780641554691	2.72847785147625
5850000000	4.5553093477	-9.96415256752283	-13.396704799023	-12.5896412333393	-2.94126282986072	2.68442361248491
5850000000	4.6076692253	-10.4795033472289	-13.705591409754	-13.2842314581473	-2.65553970949573	2.63355274094909
5850000000	4.6600291028	-10.318485025559	-13.3693072093505	-13.2886373586588	-2.3436704252007	2.55371812381202
5850000000	4.7123889804	-9.77099646838216	-12.8398287608585	-12.7235424835082	-2.08722283936998	2.4594859843243
5850000000	4.7647488579	-9.38520385518279	-12.8644664331403	-11.9722818971154	-1.87868148142899	2.38706620612211
5850000000	4.8171087355	-9.33116626584689	-13.7166807254196	-11.2985833088289	-1.66119709089161	2.36372485940436
5850000000	4.8694686131	-9.3515315439725	-15.1637590722495	-10.6726588889022	-1.37879518528657	2.39945647664023
5850000000	4.9218284906	-8.94168248469118	-16.4900830006606	-9.78165735759116	-1.02717112217306	2.4761949832816
5850000000	4.9741883682	-7.8836579834466	-17.3299595572007	-8.40734963063855	-0.692083165215289	2.54665382950519
5850000000	5.0265482457	-6.41401934074317	-18.3335208599686	-6.70254234517348	-0.422439930078265	2.57093108646048
5850000000	5.0789081233	-4.86653129972076	-20.1546143564956	-4.9969929167649	-0.122461057417341	2.54639167324266
5850000000	5.1312680009	-3.49246342210327	-21.927239684784	-3.55518820247938	0.42120315205252	2.49236957743001
5850000000	5.1836278784	-2.44199404365534	-20.2754610272289	-2.5141111811275	1.09145286928163	2.42879394392284
