2
Phi=0(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
5850000000	-3.1415926536	-18.8334213853138	-18.9808376969011	-33.5993087533191	2.07768753076005	-0.395704126109549
5850000000	-3.089232776	-21.7318585491461	-21.7398082944792	-49.1101437641841	1.98672568825304	1.13434160455724
5850000000	-3.0368728985	-25.16258723375	-26.0879317312578	-32.3318561617395	1.98791554876899	2.46756225966085
5850000000	-2.9845130209	-27.3950032732869	-31.8067372685002	-29.3474663284323	2.54311527117304	2.58809279653042
5850000000	-2.9321531434	-27.2014091950163	-28.3140517942314	-33.6601460141464	-2.78788199012472	2.84288820420796
5850000000	-2.8797932658	-22.9288912924642	-23.2785682071779	-34.0437302010826	-2.59919701961319	-1.05811052304175
5850000000	-2.8274333882	-18.653779494515	-20.3374585353348	-23.5837059253772	-2.56982416891687	-0.670092995324392
5850000000	-2.7750735107	-16.1190713255659	-18.7468575345263	-19.5488584185241	-2.53483804603562	-0.50858312684347
5850000000	-2.7227136331	-15.204255679155	-18.0108031300924	-18.4283399216705	-2.44669144958174	-0.323993590613794
5850000000	-2.6703537556	-15.5134296718575	-17.6354619455153	-19.6416522493801	-2.28655241143455	-0.0151236069299058
5850000000	-2.617993878	-15.9323253866038	-17.0735495730252	-22.2945828113184	-2.07104334339185	0.680313954799991
5850000000	-2.5656340004	-14.6938810219449	-16.0760666490777	-20.3388397356	-1.85737579518776	1.70953185969219
5850000000	-2.5132741229	-12.3950432452093	-14.8760073512793	-16.0082699022153	-1.69021424437417	2.24696744577992
5850000000	-2.4609142453	-10.5552977492207	-13.8457859585466	-13.3023956587308	-1.56890268060933	2.53306432130986
5850000000	-2.4085543678	-9.60516326299478	-13.2085375926076	-12.0937338811486	-1.46766763803181	2.74808310822555
5850000000	-2.3561944902	-9.55346162922279	-13.0414290077449	-12.1334642648191	-1.35627990602661	2.95359240730197
5850000000	-2.3038346126	-10.3061086142135	-13.3094263815768	-13.3234020035334	-1.20443005665018	-3.08973575163561
5850000000	-2.2514747351	-11.6031817177525	-13.8290630608963	-15.5715145830514	-0.982657427759554	-2.74686621246054
5850000000	-2.1991148575	-12.7107783396577	-14.1798666341762	-18.1320001327411	-0.678097170631745	-2.17841697784861
5850000000	-2.14675498	-12.5705798844462	-13.8543558523724	-18.4896182051546	-0.326207991911735	-1.41766779582945
5850000000	-2.0943951024	-11.2930951451486	-12.8108556297892	-16.5957075851326	-0.00234920896511243	-0.826981065943025
5850000000	-2.0420352248	-9.77049467609186	-11.4485712691049	-14.7122753899287	0.253478530917455	-0.431089317145953
5850000000	-1.9896753473	-8.41273329489834	-10.11261565881	-13.3086410914613	0.446884599851337	-0.120118242603308
5850000000	-1.9373154697	-7.269780849625	-8.94218729784765	-12.2236077690328	0.596000569363269	0.151515753303929
5850000000	-1.8849555922	-6.32172743217235	-7.95723265328145	-11.3551710153346	0.71534995347468	0.394165604442001
5850000000	-1.8325957146	-5.56538284170624	-7.15414865255592	-10.7028197395385	0.816179990045003	0.613872021425348
5850000000	-1.780235837	-4.99553566276859	-6.52343400943664	-10.2740092139624	0.907076683906977	0.824177788209153
5850000000	-1.7278759595	-4.5769410823341	-6.05001417600562	-9.98827902247338	0.996987036718384	1.04072147186223
5850000000	-1.6755160819	-4.25184036132877	-5.71618943326545	-9.68485849008004	1.09324393080269	1.26908668710314
5850000000	-1.6231562044	-3.95629309455918	-5.49227820352194	-9.2156473624845	1.20028507343392	1.49815495857836
5850000000	-1.5707963268	-3.66436559859204	-5.34716601475891	-8.59614797337601	1.31921902532201	1.70615683047986
5850000000	-1.5184364492	-3.40302105916881	-5.26537207453759	-7.97819939777357	1.44631398195364	1.88066154546466
5850000000	-1.4660765717	-3.23494876379293	-5.25919973719621	-7.52303199754946	1.57625981219132	2.02466117685179
5850000000	-1.4137166941	-3.21629171760497	-5.36989274228821	-7.29487624849853	1.70431659200431	2.14852113974688
5850000000	-1.3613568166	-3.37753964811216	-5.66063502559436	-7.26179506775008	1.82885252788866	2.26142839582562
5850000000	-1.308996939	-3.71244771892477	-6.19091244628497	-7.32892035402728	1.95198444451293	2.36638815222726
5850000000	-1.2566370614	-4.20351135571174	-7.0217254488611	-7.41478776076079	2.07741525673736	2.45849015027108
5850000000	-1.2042771839	-4.84182710937933	-8.23362192432723	-7.50145436421567	2.21099456273505	2.5308278285936
5850000000	-1.1519173063	-5.66170168797811	-9.9827056959794	-7.66652278847706	2.36088090980004	2.57886801253114
5850000000	-1.0995574288	-6.73738426169255	-12.5969906367501	-8.04179025641091	2.54732165195528	2.60247174145602
5850000000	-1.0471975512	-8.14922006577354	-16.8854548369383	-8.77291534307855	2.85522184273597	2.60272704386117
5850000000	-0.9948376736	-9.77568985524044	-22.9857096823466	-9.98819239854441	-2.47041958522582	2.57750348612469
5850000000	-0.9424777961	-10.8359214912316	-18.023139147397	-11.7570145930982	-1.19945966249414	2.51868802781333
5850000000	-0.8901179185	-10.2823287840297	-12.6376226336522	-14.0642752602885	-0.83995561897809	2.41549540908453
5850000000	-0.837758041	-8.70960420129885	-9.4349469283771	-16.8396395726128	-0.681497283491083	2.277779252193
5850000000	-0.7853981634	-7.24583356210071	-7.4643458279575	-20.3377165175621	-0.589771122041776	2.18674330856832
5850000000	-0.7330382858	-6.2259461996064	-6.27138624731566	-26.0521017397397	-0.539395670089927	2.47356028497784
5850000000	-0.6806784083	-5.50869732530054	-5.56071369957422	-24.7511218962291	-0.526463286369302	-2.39408292835749
5850000000	-0.6283185307	-4.7819858975106	-5.05661357020488	-16.9089763148563	-0.551010048284006	-1.99483214577074
5850000000	-0.5759586532	-3.82408152066454	-4.4860343817483	-12.3204272817184	-0.605947487591492	-1.90495643355974
5850000000	-0.5235987756	-2.69234222670967	-3.66627453291339	-9.66276715197198	-0.670072419820406	-1.8745195487515
5850000000	-0.47123889804	-1.5941426254978	-2.60488761680612	-8.42114528615295	-0.717966595483597	-1.87720452273215
5850000000	-0.41887902048	-0.656809898424276	-1.45515436086234	-8.40580895151053	-0.734124599737293	-1.92309778569049
5850000000	-0.36651914292	0.11745673763261	-0.384695439442072	-9.50069001547609	-0.717197685149403	-2.04552640367151
5850000000	-0.31415926536	0.784540085431744	0.508548920909129	-11.3216160512358	-0.672855597141066	-2.30071042683967
5850000000	-0.2617993878	1.36689568963081	1.19395105205278	-12.7180617820303	-0.608212617497945	-2.70026328494042
5850000000	-0.20943951024	1.84159437950778	1.6953331244061	-12.9578811636435	-0.529625964055648	-3.05935216272351
5850000000	-0.15707963268	2.18023311398213	2.05917139891751	-13.427932024755	-0.443323626593428	3.06592563085168
5850000000	-0.10471975512	2.40047089066285	2.33114232584895	-15.6028682926169	-0.355656363430476	-3.13473923467141
5850000000	-0.05235987756	2.57898437510475	2.55172364553332	-19.4571072272734	-0.272463149403792	-2.55322528624297
5850000000	-4.4408920985E-16	2.76998098480034	2.72813236283749	-17.4119580205604	-0.198971354322447	-1.55819120379711
5850000000	0.05235987756	2.9611989438971	2.85645905045597	-13.2677875874499	3.00266778191964	1.94060947976986
5850000000	0.10471975512	3.08794859275589	2.93048876422121	-11.3966888229267	3.04689466848652	2.01866451466919
5850000000	0.15707963268	3.11701654640856	2.96140993132411	-11.418117014608	3.0733239986176	1.96395500529503
5850000000	0.20943951024	3.08790606002516	2.97597724000251	-12.856362014531	3.08040313302419	1.75867049856656
5850000000	0.2617993878	3.10790809938975	3.03250857173141	-14.5338939819169	3.06803395895167	1.34575115507342
5850000000	0.31415926536	3.24837415018281	3.17693695408023	-14.6258945973226	3.0388179708742	0.879230453748749
5850000000	0.36651914292	3.51182463244619	3.43591498632825	-14.1009483519018	2.99822924060717	0.64076305661525
5850000000	0.41887902048	3.83246611715324	3.76996087962526	-14.6174280325159	2.95264680940893	0.667933752638317
5850000000	0.47123889804	4.14768650155809	4.10507500825794	-15.9561773965467	2.90635075165529	1.00421155531979
5850000000	0.5235987756	4.40667615744006	4.36145639226756	-15.4404741927656	2.85964331506941	1.59110714286617
5850000000	0.5759586532	4.55841630055476	4.47795698225669	-12.8038308760553	2.8093988611762	1.9916988571682
5850000000	0.6283185307	4.56508232178461	4.43335011769023	-10.6815408210734	2.75021835079066	2.15111480115586
5850000000	0.6806784083	4.42797847735961	4.25521106693622	-9.66134373681386	2.67679423404923	2.18503541987283
