2
Phi=90.0000000000002(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
5850000000	-3.1415926536	-18.8334213853138	-33.5993087533191	-18.9808376969011	2.74588852748024	2.07768753076005
5850000000	-3.089232776	-20.6166291078438	-34.639681745828	-20.7921074085602	-3.07113080580741	2.05595284446727
5850000000	-3.0368728985	-23.0479877731278	-34.4186007831709	-23.3768880542645	-2.71375077119286	2.10886300928544
5850000000	-2.9845130209	-27.1015380194956	-34.1620915234289	-28.0531039391897	-2.39917487118949	2.41824543593566
5850000000	-2.9321531434	-28.8563324965747	-33.1010554825967	-30.9065357376688	-1.9846661945051	-2.5414204629374
5850000000	-2.8797932658	-22.7122440703238	-30.1627480525475	-23.5733970555416	-1.59008816451428	-1.75670970409146
5850000000	-2.8274333882	-18.142790438242	-26.7045558368943	-18.794065838526	-1.36198505949333	-1.5127013540109
5850000000	-2.7750735107	-15.2079821698945	-23.998463747364	-15.8233599097453	-1.24513719338453	-1.36103296377044
5850000000	-2.7227136331	-13.2918432844264	-22.3272699414057	-13.871116455342	-1.16921743499329	-1.23055596995044
5850000000	-2.6703537556	-12.0447124307131	-21.6500358612592	-12.5484390297954	-1.09254726773912	-1.10221797831106
5850000000	-2.617993878	-11.2364168439951	-21.8118327394978	-11.6345202077811	-0.985698010021223	-0.968607274282326
5850000000	-2.5656340004	-10.7078991386148	-22.5227087686675	-11.0037070580655	-0.822845172095341	-0.824815064098829
5850000000	-2.5132741229	-10.3420288868742	-23.2807510887009	-10.5685929623464	-0.594314986827339	-0.668149948817541
5850000000	-2.4609142453	-10.0669517205781	-23.5540369475117	-10.2660148972772	-0.334891403510102	-0.496900593530979
5850000000	-2.4085543678	-9.84153359199224	-23.275856681815	-10.0430872625181	-0.105530250071457	-0.3137709846627
5850000000	-2.3561944902	-9.63970484855901	-22.7901289483884	-9.85521760392354	0.0735295785640937	-0.125851699133613
5850000000	-2.3038346126	-9.46816286300996	-22.3644900620076	-9.69700903721814	0.223738466547464	0.0581478960717865
5850000000	-2.2514747351	-9.35161268885565	-22.064050359286	-9.59063409876597	0.369413777624467	0.233403598582158
5850000000	-2.1991148575	-9.30591410520689	-21.8668460599787	-9.55366766604269	0.517454588872277	0.4024857640277
5850000000	-2.14675498	-9.3078206761788	-21.7931307229866	-9.56005488046431	0.658671205644098	0.57424544598878
5850000000	-2.0943951024	-9.28414654557354	-21.9456079020675	-9.52607012791335	0.782036534163586	0.756810317374621
5850000000	-2.0420352248	-9.13940333140069	-22.4552105151575	-9.34666816416032	0.885094818987613	0.95041045237866
5850000000	-1.9896753473	-8.81674830807926	-23.3968247684009	-8.97072419472501	0.976847514879264	1.1448429856453
5850000000	-1.9373154697	-8.35857764744127	-24.7306201590222	-8.45988372909596	1.0756873342875	1.32687111300502
5850000000	-1.8849555922	-7.86404983973753	-26.2690658816091	-7.92720907189685	1.20412487184632	1.49162681672779
5850000000	-1.8325957146	-7.4095033014286	-27.6699656279158	-7.45059851283706	1.37470496763117	1.6428933689921
5850000000	-1.780235837	-6.99301732255405	-28.6477051759647	-7.02278899686119	1.57196872138629	1.78742993455977
5850000000	-1.7278759595	-6.56210503214428	-29.257699967695	-6.58551467424849	1.76449094129196	1.92886752178609
5850000000	-1.6755160819	-6.06019231052855	-29.8593932595284	-6.07833790413951	1.94540920306579	2.06524222965953
5850000000	-1.6231562044	-5.48420459924638	-30.7232045339732	-5.49722232270585	2.13992425337468	2.19181196196126
5850000000	-1.5707963268	-4.89418327771793	-31.7898957502311	-4.90306827374839	2.38312585516557	2.30643480286322
5850000000	-1.5184364492	-4.35538488924152	-32.6545354276443	-4.36181458913661	2.68216847887431	2.41136895137941
5850000000	-1.4660765717	-3.90090212643496	-32.9412378141195	-3.90632240651625	2.98688906033452	2.51170126674757
5850000000	-1.4137166941	-3.50889244750948	-32.8363295678075	-3.51396579070249	-3.04650380211094	2.61181378394444
5850000000	-1.3613568166	-3.12393490164189	-32.7210299170927	-3.1287026483535	-2.8542376607983	2.71250915410583
5850000000	-1.308996939	-2.68742804103737	-32.7213468828152	-2.69173933835756	-2.68510297998978	2.8105731255866
5850000000	-1.2566370614	-2.17474718025303	-32.6951537453664	-2.17860139892883	-2.5068034782703	2.90181903010423
5850000000	-1.2042771839	-1.60823160646208	-32.4224863291488	-1.6118335667852	-2.30948293214157	2.98370772301674
5850000000	-1.1519173063	-1.02916342228131	-31.785128706896	-1.0328140731632	-2.10275669359837	3.0567959179573
5850000000	-1.0995574288	-0.470210704616996	-30.8147280362063	-0.474224296801114	-1.89842302861638	3.1228349510538
5850000000	-1.0471975512	0.0639701573944109	-29.5653974519161	0.0592377279222123	-1.70189683325998	-3.10066125310872
5850000000	-0.9948376736	0.574319943293149	-28.0438546115828	0.568345939118125	-1.5204344988954	-3.04851338139283
5850000000	-0.9424777961	1.07282193350563	-26.3029384041366	1.06486756081316	-1.36707973861696	-3.00565059039535
5850000000	-0.8901179185	1.57302958131345	-24.4739610559549	1.56222456600985	-1.25121588490756	-2.97262599519377
5850000000	-0.837758041	2.04203499252759	-22.710332726813	2.02747116499679	-1.17159129190144	-2.9466817150014
5850000000	-0.7853981634	2.45867892866659	-21.1137429975746	2.43955849273147	-1.1203165554147	-2.92383285794205
5850000000	-0.7330382858	2.78935924255144	-19.7221974490635	2.7649334107983	-1.08761301512226	-2.90031865729331
5850000000	-0.6806784083	3.01880921203152	-18.5279722518578	2.98828591549699	-1.06614104128464	-2.87553334615636
5850000000	-0.6283185307	3.15146603741107	-17.5156768170257	3.11406023516231	-1.05054135894294	-2.85294668277844
5850000000	-0.5759586532	3.20209180197943	-16.6632216526055	3.1570617422082	-1.03820212405596	-2.83908106654793
5850000000	-0.5235987756	3.19331032725142	-15.9681095153173	3.14030863740452	-1.02789715418033	-2.8405944186147
5850000000	-0.47123889804	3.17187474782127	-15.4354419411772	3.11161013249611	-1.01978045794158	-2.86138254800145
5850000000	-0.41887902048	3.1595735211577	-15.0741867076968	3.09385465102248	-1.01525107957032	-2.8987881585589
5850000000	-0.36651914292	3.15392237999039	-14.9058334127136	3.08549568332501	-1.01597080095433	-2.94488449224035
5850000000	-0.31415926536	3.13922883846292	-14.9190416059234	3.07077854946679	-1.02698493614888	-2.99110551284531
5850000000	-0.2617993878	3.08359654139474	-15.1060108775895	3.0172009691088	-1.053662495365	-3.0329952903059
5850000000	-0.20943951024	2.97516195021194	-15.4322008258392	2.91203708644104	-1.10276104209462	-3.07282669951901
5850000000	-0.15707963268	2.84004017813164	-15.8628257342234	2.78109590722225	-1.17881436292866	-3.1180022593931
5850000000	-0.10471975512	2.73011599324754	-16.3539179035143	2.67615546975919	-1.28292758188217	3.10640864962918
5850000000	-0.05235987756	2.70189635395935	-16.8741314375423	2.65374741124262	-1.41145206718138	3.03070762716079
5850000000	-4.4408920985E-16	2.76998098480034	-17.4119580205604	2.72813236283749	-1.55819120379711	2.94262129926735
5850000000	0.05235987756	2.90145269662115	-17.9807020569779	2.86586112223832	1.42316045427414	-0.289528594847043
5850000000	0.10471975512	3.02166072121217	-18.5919306913891	2.99160500446313	1.24732478883325	-0.37326889952567
5850000000	0.15707963268	3.04743415350661	-19.1556640498363	3.02120493858844	1.04912920002819	-0.446781434139425
5850000000	0.20943951024	2.95294259155753	-19.4882364798562	2.92811657081685	0.824406985913162	-0.510911839579546
5850000000	0.2617993878	2.77281685066171	-19.3712827821711	2.74622778214423	0.585500157917285	-0.568613275695985
5850000000	0.31415926536	2.56482351433868	-18.7500130014941	2.53261951085953	0.361851824876001	-0.623089375868768
5850000000	0.36651914292	2.38364998186976	-17.8206656732505	2.3420174609528	0.177480306764362	-0.675396890989316
5850000000	0.41887902048	2.24276734167394	-16.8513764940476	2.18893306763268	0.0356951384403411	-0.724796323982839
5850000000	0.47123889804	2.09684713747046	-16.0425151359778	2.02967294342986	-0.0725994537304946	-0.771123815280193
5850000000	0.5235987756	1.88827896932254	-15.4824679925017	1.80797843121057	-0.158913539984264	-0.814975334402692
5850000000	0.5759586532	1.5773006400398	-15.1849474014325	1.48479319870237	-0.232439261865469	-0.858293750738234
5850000000	0.6283185307	1.16870439246816	-15.0885060196161	1.06465116780478	-0.299292515915451	-0.903460712112274
5850000000	0.6806784083	0.709927091978656	-15.1301790811578	0.59524511400076	-0.364075483077012	-0.952229335832347
5850000000	0.7330382858	0.267157280871389	-15.2297820431393	0.142909698401829	-0.428883056538689	-1.00451223436742
5850000000	0.7853981634	-0.121547278595781	-15.3527278981528	-0.253755941486338	-0.494453048254247	-1.05928745406293
5850000000	0.837758041	-0.470223077076596	-15.4974197641486	-0.608892161586977	-0.559773371928941	-1.1161669900449
5850000000	0.8901179185	-0.831443740498895	-15.7094149017085	-0.975041377684466	-0.623973533317493	-1.17670230498903
5850000000	0.9424777961	-1.25885539698032	-16.0287984408523	-1.40613174778358	-0.686308549637171	-1.24391494294298
